,name,count,grams,kcal,sugar,fibre,carb_kcal,protein_kcal,fat_kcal,salt,sodium,category,extra_category,lactose
1625,"Juice Drink, Gefilus, Probiotics, Average Of Industrial Products",1,480.0,243.21223709369025,55.68,0.0,222.72,9.6,12.96,49.44000000000001,19.68,Juice Drink,,0.0
1488,"Hamburger, Beef And Wheat Roll",1,410.0,764.3403441682599,12.71,5.7399999999999975,365.72,183.68,236.16,4373.47,1716.26,Hamburger,beef,0.0
2582,Pike,1,120.0,97.22753346080304,0.0,0.0,0.0,91.2,4.32,71.52,28.08,Pike,,0.0
566,"Bun, Chocolate And Vanilla Filling, Tiikerikranssi, Vaasan Isoäidin",1,90.0,311.9024856596558,17.73,1.71,197.64,26.64,90.72,567.45,222.66,Bun,,2.07
3977,Whey Protein Concentrate,1,80.0,315.48757170172087,7.2,0.0,28.8,240.0,43.2,159.84000000000003,62.72000000000001,Whey Protein Concentrate,protein,0.08000000000000003
2728,"Porridge Flake Mix With Fibre, Nalle",1,40.0,142.44741873804972,0.76,10.8,69.12,22.08,33.12,6.96,2.72,Porridge Flake Mix With Fibre,porridge,0.0
511,"Breakfast Cereal, Honey Wheat Loops, Top Food",1,40.0,156.88336520076484,7.920000000000001,2.44,124.8,14.4,13.68,61.28,24.04000000000001,Breakfast Cereal,,0.0
1622,"Juice Drink, Fruit, Berry, Light, Partially Artificially Sweetened",1,20.0,3.107074569789675,0.68,0.04000000000000002,2.72,0.16000000000000006,0.18000000000000002,0.94,0.38,Juice Drink,,0.0
2572,Perch,1,10.0,8.245697896749522,0.0,0.0,0.0,7.52,0.63,11.62,4.5600000000000005,Perch,,0.0
